iter	Passed	Remaining
0	171	171661
1	176	88055
2	180	59901
3	185	46092
4	189	37755
5	193	32127
6	198	28137
7	203	25196
8	207	22813
9	211	20950
10	216	19427
11	220	18151
12	224	17057
13	229	16185
14	233	15351
15	237	14601
16	243	14052
17	246	13470
18	251	12959
19	256	12550
20	260	12151
21	264	11770
22	269	11444
23	273	11129
24	277	10828
25	282	10595
26	287	10362
27	291	10122
28	296	9924
29	301	9756
30	305	9561
31	309	9365
32	316	9285
33	321	9123
34	326	8997
35	331	8889
36	336	8754
37	342	8665
38	347	8570
39	351	8444
40	358	8375
41	362	8270
42	366	8155
43	371	8073
44	374	7952
45	377	7824
46	379	7686
47	380	7552
48	383	7450
49	385	7327
50	389	7239
51	390	7126
52	393	7030
53	394	6919
54	396	6813
55	398	6716
56	399	6616
57	401	6526
58	404	6455
59	406	6362
60	408	6282
61	409	6198
62	411	6114
63	412	6032
64	413	5952
65	417	5902
66	418	5829
67	420	5756
68	421	5687
69	423	5626
70	424	5560
71	426	5497
72	428	5437
73	429	5375
74	432	5330
75	433	5274
76	435	5217
77	436	5162
78	438	5112
79	440	5060
80	441	5009
81	442	4958
82	443	4901
83	445	4857
84	447	4818
85	451	4803
86	453	4762
87	455	4717
88	456	4675
89	458	4634
90	461	4607
91	463	4571
92	464	4530
93	466	4493
94	467	4456
95	469	4424
96	471	4389
97	474	4364
98	477	4345
99	478	4310
100	480	4278
101	482	4247
102	483	4212
103	485	4181
104	487	4154
105	489	4131
106	492	4107
107	493	4079
108	495	4049
109	497	4021
110	498	3994
111	500	3965
112	501	3938
113	503	3914
114	505	3890
115	507	3863
116	508	3834
117	509	3810
118	511	3785
119	512	3759
120	513	3733
121	515	3707
122	517	3689
123	519	3670
124	521	3653
125	524	3635
126	526	3618
127	528	3597
128	529	3576
129	531	3554
130	533	3537
131	534	3516
132	536	3495
133	537	3475
134	539	3454
135	540	3434
136	542	3416
137	543	3397
138	545	3378
139	547	3364
140	550	3352
141	551	3331
142	553	3314
143	554	3297
144	556	3280
145	557	3262
146	559	3244
147	560	3226
148	563	3218
149	565	3204
150	566	3187
151	568	3171
152	569	3154
153	571	3137
154	572	3120
155	573	3105
156	575	3088
157	577	3079
158	579	3064
159	580	3048
160	581	3030
161	583	3016
162	584	3003
163	586	2989
164	588	2975
165	589	2962
166	592	2954
167	593	2941
168	595	2930
169	597	2917
170	599	2904
171	600	2891
172	602	2881
173	604	2867
174	606	2860
175	608	2850
176	610	2837
177	611	2824
178	612	2811
179	614	2799
180	615	2787
181	617	2775
182	618	2763
183	622	2758
184	623	2747
185	625	2737
186	627	2728
187	629	2717
188	630	2705
189	632	2694
190	633	2684
191	636	2677
192	637	2667
193	639	2656
194	640	2644
195	642	2633
196	643	2622
197	645	2613
198	646	2602
199	648	2592
200	650	2584
201	652	2577
202	653	2567
203	655	2556
204	657	2550
205	659	2540
206	660	2530
207	661	2520
208	664	2513
209	666	2506
210	667	2497
211	669	2487
212	670	2478
213	672	2468
214	673	2459
215	675	2450
216	676	2440
217	677	2431
218	680	2426
219	681	2417
220	683	2409
221	684	2400
222	686	2392
223	687	2383
224	689	2373
225	690	2365
226	692	2359
227	694	2350
228	695	2343
229	698	2337
230	699	2328
231	701	2321
232	702	2313
233	704	2305
234	706	2299
235	708	2293
236	710	2285
237	711	2277
238	712	2269
239	714	2263
240	716	2256
241	718	2249
242	719	2241
243	721	2236
244	724	2231
245	725	2224
246	726	2216
247	728	2209
248	730	2203
249	732	2196
250	733	2188
251	736	2185
252	738	2179
253	739	2171
254	741	2165
255	742	2158
256	744	2151
257	745	2145
258	747	2138
259	749	2132
260	751	2128
261	753	2121
262	755	2116
263	756	2110
264	758	2103
265	760	2097
266	761	2090
267	762	2083
268	765	2079
269	767	2074
270	769	2069
271	770	2062
272	772	2056
273	773	2049
274	775	2043
275	776	2036
276	779	2033
277	781	2029
278	783	2025
279	785	2019
280	786	2013
281	788	2007
282	789	2001
283	791	1994
284	792	1989
285	795	1986
286	797	1980
287	799	1975
288	800	1969
289	802	1964
290	803	1958
291	805	1952
292	807	1947
293	809	1944
294	811	1939
295	814	1937
296	816	1933
297	818	1928
298	820	1923
299	823	1922
300	825	1916
301	826	1910
302	829	1907
303	831	1903
304	832	1897
305	834	1892
306	836	1888
307	838	1885
308	840	1879
309	842	1874
310	843	1869
311	845	1864
312	847	1859
313	848	1854
